iter	Passed	Remaining
279	50926	58201
280	51093	58002
281	51266	57811
282	51515	57704
283	51769	57602
284	52016	57491
285	52250	57366
286	52497	57253
287	52717	57110
288	52980	57013
289	53230	56901
290	53437	56742
291	53649	56588
292	53831	56403
293	54054	56261
294	54291	56131
295	54471	55943
296	54695	55800
297	54949	55687
298	55209	55579
299	55471	55471
300	55680	55310
301	55940	55200
302	56124	55012
303	56295	54814
304	56463	54612
305	56637	54416
306	56807	54217
307	56973	54013
308	57141	53813
309	57309	53611
310	57486	53420
311	57654	53219
312	57817	53014
313	57980	52810
314	58138	52601
315	58306	52401
316	58475	52203
317	58654	52014
318	58856	51845
319	59129	51738
320	59390	51620
321	59655	51503
322	59870	51344
323	60120	51213
324	60395	51104
325	60599	50933
326	60866	50814
327	61116	50682
328	61347	50532
329	61608	50406
330	61874	50284
331	62102	50130
332	62284	49939
333	62475	49756
334	62700	49598
335	62877	49403
336	63062	49214
337	63225	49009
338	63400	48812
339	63585	48624
340	63766	48432
341	63938	48234
342	64113	48038
343	64288	47842
344	64461	47645
345	64635	47448
346	64813	47256
347	64996	47066
348	65261	46935
349	65453	46752
350	65635	46561
351	65806	46363
352	65970	46160
353	66146	45966
354	66320	45770
355	66511	45586
356	66684	45390
357	66861	45197
358	67035	45001
359	67201	44801
360	67379	44608
361	67552	44412
362	67726	44218
363	67909	44029
364	68087	43837
365	68263	43643
366	68436	43448
367	68614	43257
368	68800	43070
369	68974	42876
370	69143	42678
371	69333	42494
372	69509	42301
373	69748	42147
374	69931	41958
375	70132	41780
376	70325	41598
377	70510	41411
378	70757	41259
379	70986	41097
380	71224	40940
381	71465	40784
382	71703	40625
383	71901	40444
384	72092	40259
385	72273	40068
386	72445	39873
387	72641	39690
388	72827	39502
389	73007	39311
390	73191	39122
391	73370	38931
392	73554	38742
393	73717	38542
394	73899	38352
395	74073	38159
396	74248	37965
397	74428	37775
398	74591	37576
