,Address,AdmArea,District,SeatsCount,x,y,TypeObject
6953,"город Москва, Новодмитровская улица, дом 2, корпус 2",Северо-Восточный административный округ,Бутырский район,14,37.585922990069854,55.80467710734895,предприятие быстрого обслуживания
6954,"город Москва, 3-я Парковая улица, дом 24",Восточный административный округ,район Измайлово,15,37.78604365448039,55.794720754190486,кафе
6955,"город Москва, Лухмановская улица, дом 2",Восточный административный округ,район Косино-Ухтомский,6,37.898398,55.711644,предприятие быстрого обслуживания
6956,"город Москва, Преображенская площадь, дом 6",Восточный административный округ,район Преображенское,20,37.711173070431144,55.79481665417677,предприятие быстрого обслуживания
6957,"город Москва, Харьковская улица, дом 8, корпус 2, строение 2",Южный административный округ,район Бирюлёво Западное,43,37.64389870494989,55.588086684313616,предприятие быстрого обслуживания
6958,"город Москва, Огородный проезд, дом 10, строение 4",Северо-Восточный административный округ,Бутырский район,20,37.60407815640755,55.814122730897445,предприятие быстрого обслуживания
6959,"город Москва, Лухмановская улица, дом 2",Восточный административный округ,район Косино-Ухтомский,35,37.898398,55.711644,предприятие быстрого обслуживания
6960,"город Москва, Панкратьевский переулок, дом 2",Центральный административный округ,Красносельский район,104,37.633204889187944,55.7716881200776,предприятие быстрого обслуживания
6961,"город Москва, проспект Мира, дом 112",Северо-Восточный административный округ,Алексеевский район,18,37.637500821657234,55.80637428837428,кафе
6962,"город Москва, Новая Басманная улица, дом 20, строение 1",Центральный административный округ,Басманный район,10,37.66145796480219,55.76955344718399,кафе
6963,"город Москва, Боровское шоссе, дом 36",Западный административный округ,район Ново-Переделкино,2,37.354259797604776,55.639901363993935,предприятие быстрого обслуживания
6964,"город Москва, Даниловская набережная, дом 4, корпус 1",Южный административный округ,Даниловский район,20,37.643230445103086,55.70893912847375,столовая
6965,"город Москва, улица Декабристов, дом 4, корпус 1",Северо-Восточный административный округ,район Отрадное,30,37.58999163680796,55.86748413640847,бар
6966,"город Москва, улица Декабристов, дом 20, корпус 1",Северо-Восточный административный округ,район Отрадное,4,37.606934428333425,55.86298424373779,кафе
6967,"город Москва, Измайловский проспект, дом 75/1",Восточный административный округ,район Измайлово,120,37.79378668017436,55.789039495291036,столовая
6968,"город Москва, Малая Сухаревская площадь, дом 8",Центральный административный округ,Мещанский район,86,37.6300800420267,55.77268227405648,бар
6969,"город Москва, улица Зои и Александра Космодемьянских, дом 35/1",Северный административный округ,район Коптево,0,37.525730465477984,55.825079981434406,предприятие быстрого обслуживания
6970,"город Москва, Ленинский проспект, дом 67",Юго-Западный административный округ,Гагаринский район,40,37.55237313988158,55.69131685652672,кафе
6971,"город Москва, Мансуровский переулок, дом 10, строение 2",Центральный административный округ,район Хамовники,40,37.59380204450518,55.74029256497033,кафе
6972,"город Москва, улица Верхняя Масловка, дом 21",Северный административный округ,район Аэропорт,2,37.56053027664026,55.79589626139992,бар
6973,"город Москва, улица Нижняя Масловка, дом 5",Северный административный округ,район Беговой,24,37.58324680007789,55.79167732528849,кафе
6974,"город Москва, проспект Мира, дом 45",Центральный административный округ,Мещанский район,6,37.63368726335528,55.78255345033952,кафетерий
6975,"город Москва, Михалковская улица, дом 24",Северный административный округ,район Коптево,0,37.52808474104912,55.83985510162718,магазин (отдел кулинарии)
6976,"город Москва, Мосфильмовская улица, дом 2В",Западный административный округ,район Раменки,12,37.532595301556896,55.725799451538386,кафе
6977,"город Москва, Новочерёмушкинская улица, дом 26",Юго-Западный административный округ,Академический район,16,37.575791308521474,55.67935428670988,предприятие быстрого обслуживания
6978,"город Москва, Орликов переулок, дом 6",Центральный административный округ,Красносельский район,10,37.64875870621461,55.77094640139403,кафе
6979,"город Москва, 5-я Парковая улица, дом 54, корпус 2",Восточный административный округ,район Северное Измайлово,46,37.789708000000005,55.803211771148305,кафе
6980,"город Москва, улица Свободы, дом 24/9",Северо-Западный административный округ,район Покровское-Стрешнево,50,37.45432786813746,55.83416897863621,кафе
6981,"город Москва, Столешников переулок, дом 9, строение 1",Центральный административный округ,Тверской район,29,37.615078299387946,55.76317231184283,кафе
6982,"город Москва, проезд Стратонавтов, дом 9",Северо-Западный административный округ,район Покровское-Стрешнево,30,37.43623996997459,55.826382839403735,бар
6983,"город Москва, Судостроительная улица, дом 37/11",Южный административный округ,район Нагатинский Затон,0,37.68579472818105,55.6845228814175,предприятие быстрого обслуживания
6984,"город Москва, Туристская улица, дом 31, корпус 1",Северо-Западный административный округ,район Северное Тушино,0,37.41939020419951,55.857350465004465,закусочная
